City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,12.68,64,10,1.79,NZ,1701746954
1,college,64.8569,-147.8028,-17.53,80,75,2.57,US,1701746955
2,bilibino,68.0546,166.4372,-25.87,100,100,1.16,RU,1701746956
3,bethel,41.3712,-73.414,5.84,76,92,0.89,US,1701746958
4,constantia,44.1833,28.65,1.5,68,73,4.52,RO,1701746959
5,ixtapa,20.7,-105.2,24.01,83,75,0.0,MX,1701746959
6,naze,28.3667,129.4833,19.51,80,76,11.08,JP,1701746960
7,udachny,66.4167,112.4,-39.2,80,63,1.5,RU,1701746961
8,kutum,14.2,24.6667,17.07,18,100,2.51,SD,1701746962
9,la passe,45.5549,-0.8967,8.32,66,82,9.07,FR,1701746963
10,zhanaozen,43.3,52.8,9.02,86,97,3.77,KZ,1701746964
11,cuencame de ceniceros,24.8711,-103.6964,15.15,29,100,1.69,MX,1701746965
12,alice springs,-23.7,133.8833,37.75,12,0,5.14,AU,1701746966
13,dickinson,29.4608,-95.0513,16.05,71,0,0.0,US,1701746967
14,pontes e lacerda,-15.2261,-59.3353,22.45,98,100,0.33,BR,1701746968
15,la'ie,21.6477,-157.9253,27.98,77,45,2.68,US,1701746968
16,kununurra,-15.7667,128.7333,36.99,41,14,2.57,AU,1701746969
17,mount gambier,-37.8333,140.7667,24.18,36,56,5.51,AU,1701746970
18,severo-yeniseyskiy,60.3725,93.0408,-30.98,99,98,1.39,RU,1701746971
19,bredasdorp,-34.5322,20.0403,16.24,77,100,1.39,ZA,1701746972
20,grytviken,-54.2811,-36.5092,0.27,75,13,4.66,GS,1701746972
21,enewetak,11.3474,162.3373,27.81,74,98,8.86,MH,1701746973
22,xining,36.6167,101.7667,2.95,28,77,0.85,CN,1701746974
23,camana,-16.6228,-72.7111,19.87,81,82,2.43,PE,1701746975
24,adamstown,-25.066,-130.1015,22.69,78,100,5.58,PN,1701746976
25,ushuaia,-54.8,-68.3,9.81,71,75,14.4,AR,1701746977
26,port mathurin,-19.6833,63.4167,25.81,81,28,7.72,MU,1701746978
27,sola,-13.8833,167.55,27.25,81,86,5.01,VU,1701746979
28,olonkinbyen,70.9221,-8.7187,-1.79,78,100,5.04,SJ,1701746979
29,peace river,56.2501,-117.286,-2.83,86,100,2.06,CA,1701746824
30,jamestown,42.097,-79.2353,2.23,97,100,5.66,US,1701746776
31,newman,37.3138,-121.0208,12.94,85,2,0.97,US,1701746982
32,punta arenas,-53.15,-70.9167,10.06,62,40,13.38,CL,1701746696
33,wailua homesteads,22.0669,-159.378,27.24,86,75,5.14,US,1701746984
34,west island,-12.1568,96.8225,27.99,69,40,6.17,CC,1701746985
35,ilulissat,69.2167,-51.1,-11.99,85,75,0.0,GL,1701746986
36,wuyishan,28.0047,117.8114,16.58,60,56,1.33,CN,1701746987
37,keflavik,64.0049,-22.5624,3.24,81,75,7.72,IS,1701746987
38,kodiak,57.79,-152.4072,1.73,87,100,6.69,US,1701746988
39,prokhorovka,51.0374,36.7325,-4.91,95,99,3.66,RU,1701746989
40,talnakh,69.4865,88.3972,-33.22,85,77,1.93,RU,1701746990
41,ust-nera,64.5667,143.2,-44.46,98,92,2.69,RU,1701746991
42,bubaque,11.2833,-15.8333,28.0,71,0,5.25,GW,1701746992
43,blackmans bay,-43.0167,147.3167,21.4,71,97,0.89,AU,1701746992
44,edinburgh of the seven seas,-37.0676,-12.3116,16.43,97,100,9.81,SH,1701746993
45,hamilton,39.1834,-84.5333,4.68,88,100,2.06,US,1701746934
46,angaur state,6.906,134.13,28.5,78,86,5.68,PW,1701746995
47,hawaiian paradise park,19.5933,-154.9731,24.73,89,100,3.6,US,1701746996
48,galveston,29.3669,-94.9669,16.06,74,0,1.54,US,1701746996
49,longyearbyen,78.2186,15.6401,-4.09,74,20,7.72,SJ,1701746997
50,kone,-21.0595,164.8658,31.51,54,95,3.2,NC,1701746998
51,papatowai,-46.5619,169.4708,15.39,65,50,4.28,NZ,1701746999
52,vorgashor,67.5833,63.95,-28.85,95,5,2.3,RU,1701747000
53,yellowknife,62.456,-114.3525,-12.71,85,100,2.06,CA,1701747001
54,brisas de zicatela,15.8369,-97.0419,26.48,77,72,2.47,MX,1701747002
55,albany,42.6001,-73.9662,3.36,82,99,3.36,US,1701746909
56,puerto santa,-8.9906,-78.6456,19.12,88,83,3.19,PE,1701747005
57,filey,54.21,-0.2892,7.66,87,100,2.24,GB,1701747006
58,tazovsky,67.4667,78.7,-35.98,100,37,0.76,RU,1701747007
59,iqaluit,63.7506,-68.5145,-7.15,86,75,1.54,CA,1701746982
60,suicheng,33.8963,117.9331,15.83,38,0,4.01,CN,1701747009
61,las tablas,7.7667,-80.2833,25.91,86,5,6.22,PA,1701747010
62,fortuna,40.5982,-124.1573,15.55,91,100,4.63,US,1701747011
63,salinopolis,-0.6136,-47.3561,26.33,87,100,3.58,BR,1701747012
64,lompoc,34.6391,-120.4579,14.21,79,0,0.0,US,1701747013
65,hermanus,-34.4187,19.2345,16.42,77,96,3.63,ZA,1701747014
66,san antonio de pale,-1.4014,5.6325,26.1,84,100,3.41,GQ,1701747016
67,port-aux-francais,-49.35,70.2167,4.18,72,6,8.05,TF,1701747018
68,nabire,-3.3667,135.4833,25.08,92,100,1.46,ID,1701747019
69,tiksi,71.6872,128.8694,-23.83,99,100,4.25,RU,1701747021
70,puerto natales,-51.7236,-72.4875,8.66,72,19,5.47,CL,1701747022
71,frontignan,43.4485,3.754,9.08,65,100,7.28,FR,1701746841
72,soio,-6.1349,12.3689,25.89,79,100,1.8,AO,1701747025
73,arraial do cabo,-22.9661,-42.0278,23.55,96,97,2.01,BR,1701747026
74,west end,26.6833,-78.9667,22.99,77,94,1.62,BS,1701747027
75,bereznik,62.8551,42.7072,-17.5,99,99,0.76,RU,1701747029
76,sal rei,16.1833,-22.9167,24.02,77,83,6.9,CV,1701747030
77,margaret river,-33.95,115.0667,19.51,56,100,6.11,AU,1701747031
78,strezhevoy,60.7333,77.5889,-26.13,92,68,5.36,RU,1701747032
79,tanaina,61.6269,-149.4281,-1.2,56,40,3.58,US,1701747033
80,stanley,54.868,-1.6985,5.43,96,75,6.69,GB,1701747034
81,port saint john's,-31.6229,29.5448,18.65,83,100,3.35,ZA,1701747036
82,copala,16.65,-98.9833,25.55,81,87,1.95,MX,1701747037
83,isafjordur,66.0755,-23.124,0.02,84,100,2.46,IS,1701747038
84,fiumicino-isola sacra,41.7675,12.2291,13.75,48,75,5.66,IT,1701747039
85,invercargill,-46.4,168.35,13.73,53,97,3.26,NZ,1701747040
86,talodi,10.6325,30.3797,24.91,29,18,1.57,SD,1701747041
87,woolgoolga,-30.1106,153.2007,28.91,65,0,4.46,AU,1701747042
88,san luis de la loma,17.2706,-100.8939,25.59,83,100,2.86,MX,1701747042
89,pisco,-13.7,-76.2167,20.03,83,0,3.6,PE,1701747043
90,hard bargain,26.3167,-77.5667,25.05,81,95,1.49,BS,1701747044
91,anadyr,64.75,177.4833,-20.72,84,40,6.0,RU,1701747045
92,kapuskasing,49.4169,-82.4331,-12.0,85,100,0.51,CA,1701747046
93,malpica,43.3228,-8.8105,8.32,83,100,1.76,ES,1701747047
94,saipan,15.1355,145.701,31.39,66,40,8.75,MP,1701747048
95,whitehorse,60.7161,-135.0538,-7.57,92,100,1.03,CA,1701747049
96,ribeira grande,38.5167,-28.7,17.65,88,100,8.94,PT,1701747049
97,tonder,54.9331,8.8667,0.23,88,100,2.24,DK,1701747050
98,koksan,38.7819,126.6664,6.04,77,88,0.79,KP,1701747051
99,meulaboh,4.1363,96.1285,26.25,88,100,0.84,ID,1701747052
100,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,82,75,3.0,RU,1701747053
101,lazarevskoye,43.9061,39.3331,9.35,80,97,2.9,RU,1701747053
102,puerto ayora,-0.7393,-90.3518,23.64,93,87,1.34,EC,1701747054
103,klyuchi,52.2667,79.1667,-3.35,94,100,8.46,RU,1701747055
104,chulym,55.0997,80.9572,-10.97,95,100,4.85,RU,1701747056
105,ciudad miguel aleman,26.35,-99.1,19.15,62,100,3.3,MX,1701747057
106,kitimat,54.0524,-128.6534,3.21,64,100,0.69,CA,1701747058
107,darwin,-12.4611,130.8418,35.59,62,40,4.63,AU,1701746775
108,mermoz boabab,14.7065,-17.4758,24.88,83,0,4.12,SN,1701747059
109,al jawf,29.5,38.75,17.02,46,0,6.22,SA,1701747060
110,avarua,-21.2078,-159.775,24.03,94,75,1.03,CK,1701747061
111,kargil,34.5667,76.1,-4.48,32,0,0.99,IN,1701747062
112,utrik,11.2278,169.8474,27.58,81,74,9.12,MH,1701747063
113,rauma,61.1272,21.5113,-8.98,96,98,1.83,FI,1701747064
114,touros,-5.1989,-35.4608,26.28,83,86,5.3,BR,1701747066
115,guasdualito,7.2424,-70.7324,25.98,89,0,0.0,VE,1701747067
116,vadso,70.0744,29.7487,-1.91,69,84,6.69,NO,1701747068
117,katsuura,35.1333,140.3,14.63,65,100,1.43,JP,1701747069
118,mokolo,10.7398,13.8019,21.05,19,100,2.49,CM,1701747071
119,eenhana,-17.4667,16.3333,21.01,80,83,2.2,NA,1701747072
120,atafu village,-8.5421,-172.5159,29.03,76,100,5.13,TK,1701746779
121,hereford,52.0568,-2.7148,4.47,96,100,3.52,GB,1701747074
122,kavaratti,10.5669,72.642,28.71,72,100,3.4,IN,1701747076
123,nuuk,64.1835,-51.7216,-2.66,68,16,1.03,GL,1701747078
124,kirakira,-10.4544,161.9205,26.75,89,100,4.53,SB,1701747079
125,selfoss,63.9331,-20.9971,-1.09,74,96,3.88,IS,1701747081
126,bel ombre,-4.6167,55.4167,28.03,73,96,2.58,SC,1701747083
127,lebu,-37.6167,-73.65,11.83,94,13,6.56,CL,1701747086
128,ulladulla,-35.35,150.4667,31.29,39,1,3.04,AU,1701747088
129,pindushi,62.9152,34.58,-22.74,100,100,0.54,RU,1701747089
130,pavilosta,56.8879,21.1859,-1.05,78,99,3.51,LV,1701747090
131,bucerias,20.75,-105.3333,24.43,83,75,0.0,MX,1701747047
132,atar,20.5169,-13.0499,21.66,27,98,2.05,MR,1701747094
133,uturoa,-16.7333,-151.4333,27.23,77,100,7.11,PF,1701747097
134,yuzhno-kurilsk,44.0306,145.8556,7.43,67,42,3.86,RU,1701747098
135,fort bragg,35.139,-79.006,12.12,79,20,0.0,US,1701746856
136,champerico,14.3,-91.9167,27.0,78,6,1.94,GT,1701747100
137,nemuro,43.3236,145.575,8.32,81,44,9.22,JP,1701747101
138,nogliki,51.8333,143.1667,-9.81,96,12,1.79,RU,1701747102
139,taulaga,-11.0553,-171.0883,28.7,75,78,6.76,AS,1701747103
140,bandar lampung,-5.4254,105.258,29.84,66,100,1.11,ID,1701747057
141,grand forks,47.9417,-97.4337,-2.94,91,100,4.63,US,1701747105
142,sour el ghozlane,36.1477,3.6912,7.77,71,100,1.48,DZ,1701747106
143,qaqortoq,60.7167,-46.0333,-7.16,69,100,4.96,GL,1701747107
144,illizi,26.4833,8.4667,8.89,35,2,1.68,DZ,1701747108
145,pirallahi,40.4723,50.333,10.08,82,26,2.68,AZ,1701747109
146,middelburg,-25.7751,29.4648,20.35,37,27,1.06,ZA,1701747111
147,rio grande,-32.035,-52.0986,18.3,68,87,7.0,BR,1701747111
148,mana,5.6592,-53.7767,25.68,88,3,3.89,GF,1701747112
149,abatskoye,56.2875,70.4555,-7.75,96,100,3.97,RU,1701747113
150,ambon,-3.6954,128.1814,32.08,66,40,2.57,ID,1701747114
151,sinabang,2.4803,96.3801,28.44,73,100,0.49,ID,1701747115
152,hailar,49.2,119.7,-4.03,94,100,9.02,CN,1701747116
